,starter,riddle,class
2961,choice,"What is it that given one, you'll have either two or none?",what is it
2947,your fingerprints,Everyone has me except for a few.  You may not be able to identify me but I can always identify you.  What am I?,what am i
2701,eat,I'm what you do with a hazel nut.Take off my head and put it on my butt.Now I'm what you did with that hazel nut.What am I?,what am i
2766,riddle,"I play with your mind, i ensnare your thoghts, i bend your mind to figure me out.  I laugh at your strugle, your intensity in thought, my tricks trap you and decieve you, though some can guess my questions while other despair in thought.  Some are weak to me other overcome my challenges yet only if you can figure me out will you get the answer.  Who or What am I?",what am i
3933,A Calendar.,"No matter how little or how much you use me, you change me every month. What am I?",what am i
1797,noise,"You can make me, but you can't see me. What am I?",what am i
4650,An equal.,"What God never sees, what the king seldom sees, and what we see every day. What is it? Read my riddle.",what is it
2198,sponge,I amfull of holes but I can still hold water. What am I?,what am i
1817,piano,"I can sing, but I can't speak. You can hear me, but I can't hear you. What am I?",what am i
2931,advice,"Most people need it,  some ask for it, some give it, but almost nobody takes it.  What is it?",what is it
214,peeves,"I follow the orders of only two. I respect the work of only two. I am in constant battles with many, Though one surpassed them all. With forces joined, We created hell, Until our mutual enemy fell. Who am I?",who am i
1176,runny nose,"I can run constantly without ever getting tired. When I run, I frustrate people and drive them crazy, Yet I don't even have to move to irritate you. What am I?",what am i
4346,An inkpen.,"I am the tool, for inspiring many. Buy me in the store, for not much more than a penny. Don't overuse me, or my usefulness will go, what am I? Do you know?",what am i
4224,A plane.,I have wings but can't fly alone. I have a tail but don't use it to show emotions. I have a body but don't wear clothes. What am I?,what am i
1099,nursery rhyme,"Often I rhyme, But not always it seems. As a small child I precede your dreams. Not quite a story, Not yet a tale, Yet with amusement I will regale. What am I?",what am i
2024,air,"I am your friend who rings the bell DING-DING, Sometimes I even push you on the swing. I am probably where a person goes, Usually I go up your nose. Without me friend you'll probably die, Now I ask you what am I?",what am i
3638,eyes,"Open me, and you can't see me without a mirror.  Close me and you can't see me at all.   What am I?",what am i
4382,Rotator.,I am a body part. I am same when spelled forward and backward. What am I?,what am i
1020,dictionary,"Looking for something? Open me. I'm sure that your something inside of me lies. Of course you can always find hope in me (Though despair must come first; and later, surprise), What's sought, though, depends on the seeker - One looks for bobbin; another, for beaker; Others, for nature; still others, for nurture - The quarry will vary from searcher to searcher. And yet (I suspect this will strike you as strange), My contents are set and will not ever change. If you cannot still guess what I mean, here's a clue: The answer - what I mean - lies inside of me, too. What am I?",what am i
2536,tree,"Wherever the wind does go, Towards there I dance; With the sun above me I grow; Yet without water below, I can never survive; And the taller I grow, The deeper I become. What am I?",what am i
2389,radish,It is sharp but not pepper; white but not paper; green but not shaddock. What am I?,what am i
2579,lifeguard,"My first four letters describe all living things. My last five letters are another word for knight. My job is to save you, and I'm a fan of water. Who am I?",who am i
4356,A Street or Road.,"From house to house he goes, A messenger small and slight. And whether it rains or snows, He sleeps outside at night.What am I?",what am i
806,moth,Attracted by light but flies at night. It's wind and hairy but not too scary. What is it?,what is it
3859,needle and thread,"old mother twitchet had one eye, and a long tail that she let fly.  And every time she went through a gap, she left she left a bit of her tail in its trap.  What am I ?",what am i
3242,lock on a door,"I can protect you, and all of your stuff, and if someone breaks me, they may leave in cuffs.   I'll keep you from getting where you need to go, unless you posess one that only I know.   What am I?",what am i
4646,Noise.,"What is that which goes with a carriage, comes with a carriage, is of no use to a carriage, and yet the carriage cannot go without it. What is it?",what is it
3232,coffin,The ones who make it don't use it  The ones who buy it don't want it  The ones who use it don't know it  What is it?,what is it
2567,icicle,"I grow from trees and your home, once I am grown I fall to my doom.What am I?",what am i
2863,microphone,"You speak to me,  But you are talking to someone else,  What am I?",what am i
4634,A cabbage.,It stands on one leg with its heart in its head. What is it?,what is it
3808,arrow,"I have many feathers to help me fly.  I have a body and head, but I'm not alive.  It is your strength which determines how far I go.  You can hold me in your hand, but I'm never thrown.  What am I?",what am i
2408,pillow,I lose my head in the morning and regain back it at night. What am I?,what am i
2694,Mississippi,"I have 4 eyes, but I cannot see! What Am I?",what am i
3378,keyboard mouse,"I cannot run,I cannot talk. I cannot see, I feel your hand moving around me. What am I?",what am i
1669,hiccups,"I do not often come around, and you never let me touch the ground, I don't like water, holding my breath, or being scared, for these three things get rid of me. What am I?",what am i
3740,gas,"For some I am used to get around.  I never even touch the ground.  Somtimes I fall in a large open tank, and sometimes I float in the air and then raise.  WHAT AM I?",what am i
26,bat,I can't see yet I know your there. I'm not a cow but I'm leather. I'm a rare find but follow paths. I can fly but I'm not a bird. What am I?,what am i
1832,you,"I'm short when I'm young, I'm big when I'm big. what am i?",what am i
998,pencil sharpener,I'm not a razor. But have a blade. I unblunt items. That have a grade. What am i?,what am i
2286,tree,"I__ usually green and brown. With rain, I can live for a long time. I__ a house for a bird and kids love to climb me. What am I?",what am i
