Words,BFSConcepts,GoldRiddle,GenRiddle
doorbell,[],"I never ask questions, but I am always answered. What am I?","

I sit on the front door, but I am not a lock.
Press me once, and you'll hear me talk.
I signal your arrival, with a familiar ring.
Without me, your knock would mean nothing. 
What am I, on the front door so bold?
A key to entrance, or so I am told."
comb,"['a pocket', 'crest']","Metal or bone I may be, many teeth I have and always bared, yet my bite harms no one and ladies delight in my touch. What am I?"," 

In your purse and on your dresser it sits
Used to part your hair, it never quits
A pocket-sized tool that's oh so handy
Without it, taming your locks may be quite dandy"
snake,"['Hydra', 'Snake', 'The Amazon', 'a cage', 'a ditch', 'a feild', 'a field', 'a garden', 'a hole in the ground', 'a tropical forest', 'creeks', 'Creeks', 'creek', 'pet shops']",I hiss. I can be poisonous. I am long. I have a forked tongue.   What am I?,"

I am found both in the Bible and a garden,
In a field, I might slither and harden.
Some fear me, others see me as a friend,
I am a creature that knows no end."
fear,"['afraid', 'acrophobic', '300078919-s', 'acrofóbico', 'acrophobia', 'acrófobo']",I make you're hands sweat and your heart cold.           What am i??????,"

I am an emotion that can make you weak,
At times, I cause you to be unable to speak.
When danger lurks, I am what you feel,
Making your heart race and your body reel.

Some may call me afraid or scared,
But I am just a temporary feeling, not always prepared.
I am like a shadow, creeping behind,
But once you face me, courage you will find.

I am like a storm that can come and go,
But with strength and perseverance, you'll learn to glow.
So don't let me hold you back or steer,
For in facing me, you'll conquer your fear."
photograph,"['a photographer', 'picture']",What is it that someone else has to take before you can get it?,"

I am an image captured in a frame,
A moment saved, never to be tamed.
I am a picture, a memory to cherish,
A glimpse of the past that will never perish.
What am I, you may ask?
A frozen moment, a photograph, my task. "
tuesday,"['Tuesday', 'martes', '102452552-n', 'Martes']","I am a bit bad but before me was the worst, and I already know that after me will be better, However im not singular but infact 24. Who am I?","

I am the second day of the week,
My name starts with a ""T"" and ends with an ""s"",
Some may refer to me as just ""Tu"",
But to the French, I am ""Mardi"" too. 
What day am I? "
hurricane,"['Beaufort scale', 'a storm', 'cyclone', 'ciklon']",I have an eye but cannot see. I’m faster than any man alive and have no limbs. What am I?,"

I am a powerful force, a storm to behold
My winds howl and rage, my path never controlled
With swirling chaos, I leave destruction in my wake
Leaving behind a wake of heartache and ache
In the world of meteorology, I am feared and revered
For my might and power can never be cleared
In Spanish they call me ciklon, in English, I am the same
Can you guess this natural disaster, known by a different name?"
race,"['competition', 'contest']","Sports they say, but gamble they play. Humans, horses, cars or hounds.contend in me for rounds and rounds. A two, a three or many can play in me, but alone I just don't know how it can be. I can be oval, linear or any shape, but once you join, do not escape. Once you do, a greeting is for you, nothing else but an angry boo. Now, what am I?","

I start with a bang, but end in a dash
A test of speed, a battle of flash
With every step, I'm gaining ground
In this competition, I'm always bound
With running shoes and a determined face
I'm in this contest, to win the race."
treadmill,['occupation'],Every time you try to move ahead.I'm bent on pulling you back instead. Is this struggle for mobility.An exercise in futility?  Either level or somewhat inclined.With progress feedback I am designed. Whether you choose to walk or to run.You always end up where you've begun. What am I?,"

I am used by those in an occupation,
To exercise and improve their motion.
In ancient times, I was a punishment tool, 
But now I'm seen as a tool quite cool.
Used to measure time, I am quite clever,
Can you guess the word that describes me forever? "
hills,"['alive', 'elevated portions of the earth', 'hill', 'pinnacles and bases']",Im big as a whale and I roll like the sea.  My cousin is even bigger than me.  What am I?,"

I am made of dirt, rocks, and trees,
But I'm not flat like the plains or the seas.
I rise high above, with a majestic view,
A place where nature can show off its hue.
I am known for my slopes and my thrills,
Can you guess what I am? I am the ________."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']",I usually wear a yellow coat. I usually have a dark head. I make marks wherever I go. What am I?,"

I am a writing tool
For paper, I'm the perfect tool
I can be found in a drawer
Or in a pencil-case, I'm sure
In a classroom, my job is to rule "
prank,['antic'],"You can play me and pull me,I love the naive.I'm enjoyable to give,but bad to receive.What am I?","

I am a mischievous delight,
Some find me thrilling, others might,
With a canine twist, or a silly antic,
I'm a buffoon, a joke, a playful antics,
A psina of the imagination, a lighthearted diversion,
Pray, tell me, what am I? A mystery and a version."
A Mountain.,[],"What has roots that nobody sees, and is taller than trees. Up, up it goes, and yet it never grows. What is it?","

I am tall and mighty,
But I never move an inch,
My peaks are always snowy,
And my slopes are hard to flinch.
What am I?"
coffin,"['a box', 'a coffin', 'a funeral', 'casket', 'cemetery', 'grave']","The maker doesnt want it, the buyer doesnt use it, and the user doesnt see it.  What is it???","

I am the vessel of death, a mournful sight
A home for the buried, a final resting site
A container for the dearly departed
A symbol of grief, the broken-hearted
Some say I'm just a wooden box
But to those in mourning, I am much more than rocks
I am a coffin, casket, a funeral friend
In the earth, I bring the journey to an end. "
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']","I am used to bring thoughts to life, And I come in different colors. I have a stone in my middle.And with my outside you could make a fiddle. What am I?","

I am used to write something on paper,
In a drawer I am often stored with care.
Inside a pencil-case is where I hide,
In a classroom, I will always abide. 
What am I?"
bar of soap,[],"You use it between your head and your toes, the more it works the thinner it grows.   What is it?","

I am small and slippery, yet I make you clean
My job is to scrub away all things unclean
I may not look special, just a simple shape
But without me, you'd be in a dirty landscape
What am I?"
reflection,"['image', 'mirror']",I look at you when you look at me. Is my secret twin I see? You follow my actions and all that I do. I am just another copy of you! What am I?,"

I am a sight you cannot touch,
In a bedroom I may be,
A duplication in a looking glass,
I am a reflection, can't you see?"
paint,"['art', 'Art', 'an art', 'creative', 'be creative']","I can be any color you can imagine.   You see me in everyday life.   I have been around for many, many years,  Look around, you can probably see some of me right now.    What am I?","

""I am a liquid, that brings color to a wall,
Transforming blank spaces, into a masterpiece for all.
Sometimes I drip, sometimes I smear,
But in the end, I make the art appear.
What am I?"""
pancakes,"['Q838886', 'The Pancakes', 'cantopop', 'famous for their flatness', 'flat and round', 'indie pop', 'musician', 'pancake', 'served for breakfast']",I am so delicious that I require a house to contain me. What am I?,"

I am round and flat, a breakfast delight
Known for my fame, I am quite the sight
My name begins with the letter ""P""
Can you guess who I could be?"
comb,"['a pocket', 'crest']","I have many teeth and sometimes they're fine, First I'm by your head, then I'm down your spine.   What am I?  What am I?","
I am a tool so often used,
To part your hair, I'm quite amused.
In a pocket or purse, I'm found,
With teeth and handle, I am bound.
Without me, your hair won't be neat,
But finding me can be quite a feat."
