starters,generated_riddles,reference_riddles
hurricane,"I am a slumber, I can be blown, and I have no wings. What am I?","I have an eye but cannot see. I\xe2\x80\x99m faster than any man alive and have no limbs. What am I?'
"
race,"I am a race, I have no race. I can be fought, but I cannot be defeated. What am I?","Sports they say, but gamble they play. Humans, horses, cars or hounds.contend in me for rounds and rounds. A two, a three or many can play in me, but alone I just don't know how it can be. I can be oval, linear or any shape, but once you join, do not escape. Once you do, a greeting is for you, nothing else but an angry boo. Now, what am I?""
"
treadmill,I am a machine that runs on the ground. I have ten legs but no legs. What am I?,"Every time you try to move ahead.I'm bent on pulling you back instead. Is this struggle for mobility.An exercise in futility?  Either level or somewhat inclined.With progress feedback I am designed. Whether you choose to walk or to run.You always end up where you've begun. What am I?""
"
hills,I am a place where people can see. I can be surrounded by mountains. What am I?,"Im big as a whale and I roll like the sea.  My cousin is even bigger than me.  What am I?'
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"I usually wear a yellow coat. I usually have a dark head. I make marks wherever I go. What am I?'
"
prank,"I am a word that is used to describe sex. I can be used in tense, fright, or even if you're not noticing me. What am I?","You can play me and pull me,I love the naive.I'm enjoyable to give,but bad to receive.What am I?""
"
A Mountain.,"I am a mountain, I can be tall, and I have slender eyes. What am I?","What has roots that nobody sees, and is taller than trees. Up, up it goes, and yet it never grows. What is it?'
"
coffin ,I am a piece of wood. I can be made of any kind. What am I?,"The maker doesnt want it, the buyer doesnt use it, and the user doesnt see it.  What is it???'
"
pencil,I am a tool that can be used to make pens. I can make pencils. What am I?,"I am used to bring thoughts to life, And I come in different colors. I have a stone in my middle.And with my outside you could make a fiddle. What am I?'
"
bar of soap,I am a soap that is used in soap. What am I?,"You use it between your head and your toes, the more it works the thinner it grows.   What is it?'
"
reflection,I'm a word that can be used to describe sex. I can also be seen in tees. What am I?,"I look at you when you look at me. Is my secret twin I see? You follow my actions and all that I do. I am just another copy of you! What am I?""
"
paint,I am a color that is used to make sand. I can be used for many different purposes. What am I?,"I can be any color you can imagine.   You see me in everyday life.   I have been around for many, many years,  Look around, you can probably see some of me right now.    What am I?'
"
pancakes,I am a type of pancake. I can be made with ice cream. What am I?,"I am so delicious that I require a house to contain me. What am I?'
"
menorah,"I am a king of men. I have ten legs, and I'm surrounded by sand. What am I?","I stand tall for 8 days and 8 nights, my greatest task is to give darkness light. What am I?""
"
comb,I am a tool that can be used to make combs. I can make the sand rusty. What am I?,"I have many teeth and sometimes they're fine, First I'm by your head, then I'm down your spine.   What am I?  What am I?""
"
hitch,"I am a thing that can be thrown, but I can't be held. What am I?","Use me to get from point A to point B, To bind yourself to another for eternity, When it all goes wrong it's because of me, Houston, we have a problem, technically. What am I?""
"
solder,"I am a tool that can be used to make sand. I can make many things, but I cannot make anything. What am I?","I and me a soldier be.melting in the fire. I hit the spot when the iron's hot.to conduct with a wire. What am I?""
"
WOW.,"I am a word that is pronounced in the middle of the word. I can be spelled in ten, or even more. What am I?","I am a word of three letters. I am spelt the same backward and forward; turn me upside down, I will become your mother. What am I?'
"
upright piano,I am a musical instrument. I can be sung by ten. What am I?,"I am the noblest musical instrument. What am I?'
"
Happiness.,I am a feeling that you feel when you are happy. I can be felt in many different ways. What am I?,"I am aspired by all, yet hard to find. You can search endlessly, but have little peace of mind. What am I?'
"
bee,"I am a bird that is able to fly. I can fly but cannot fly, I have no wings. What am I?","I am fast and little, and I can attack anything, I can fly to my home while I have a job, I live with my honey. What am I?'
"
balloon,I am a fluttering slender object. I can be thrown or tossed. What am I?,"I come in many different colors and I get bigger when I__ full. I will float away if you don__ tie me down and I will make a loud sound if I break. What am I?'
"
egg,"I am a sand, I'm shaped like twig, and I have ten legs. What am I?","On the outside, beige walls surround a castle of the purest white, and a tressure of liquid gold hides in the center. What is it?""
"
nike symbol,"I am a symbol of love, but I'm not able to see. I can be spelled, or if you're not, I may be used. What am I?","I am a tick, I am usually black or white, You will find me on many clothing, People think I am cool.  What am I?""
"
mountain,I am a mountain that is surrounded by mountains. I can be sand or snow. What am I?,"I'm taller than trees, I don't blow in the breeze, up, up I go but never grow. What am I?""
"
I am Sand.,"I am a rock, I'm surrounded by water, and I can be sand. What am I?","I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?""
"
A Kiss.,"I am a word that is used to describe sex. I can be thrown or tossed, but I'm not able to be heard. What am I?","Of no use to one Yet absolute bliss to two. The small boy gets it for nothing. The young man has to lie for it. The old man has to buy it. The baby's right, The lover's privilege, The hypocrite's mask. To the young girl, faith; To the married woman, hope; To the old maid, charity. What am I?""
"
rope,I am a rope that is twisted and slender. I can be used to ride tees and jumps. What am I?,"Ten men's length, Ten men's strength, Yet ten men cannot stand me on end. What am I?""
"
stoner,I am a man who is spelled out in tidal letters. I have ten legs and he has four legs. What am I?,"i enjoy the earths creations and never kill.  What i do to be happy is ilegal what am I.'
"
Accent. Everyone speaks with an accent. To put an accent on something is to put focus on it. Accents sit on letters (characters).,"I have a head, but I'm not spelled. I can be coloured or red, and I am shaped like twigs. What am I?","You have never spoken without me. My presence shows focus and my chairs are characters. What am I?""
"
onion,I am a vegetable that is sliced and sown. I can be thrown away and eaten. What am I?,"I am the only vegetable that will make you cry, but not because I've hurt your feelings. What am I?""
"
