starter,riddle,class
snow,"White and sparkly I can be, kids make angels out of me. What am I?",what am i
mask,"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed. What am I?",what am i
scale,"One side up because there is nothing there, the other side is down cuz lead was placed here. Then I lead the other now everything is fair. What am I?",what am i
chocolate,"Sometimes I am light, sometimes I am dark. What am I?",what am i
shamrock,"I am a fake stone, I am green without envy. I am three in one, I can symbolize the Trinity.  .What am I?",what am i
Salazar Slytherin,One of four. Bloodline pure. History and secrets. I buried them low and deep. Listened. Spoke. Disagreed. Left. If you heard me speak. You may not understand. But the last words your hear. Were my sole command. I left behind. My virtues; my beliefs. And one day. My work will be finished. Who am I?,who am i
tree,"What was never scared but became petrified, can't make a bird but can make a bat, can't live in a house but would die to have one. What is it?",what is it
drum,I have skin but no bones. Hit me and I make a noise. I usually come in a set. What am I?,what am i
eagle,"I am gold, or I can be black and white. I__ a symbol for a nation when freedom took flight. What am I?",what am i
eat,"Take my first and make it my last, now I happened in the past.  What am I?",what am i
corner,Send poorly behaved children to me and let them sit here. What am I?,what am i
snow globe,I am a contained world that you can shake but please don't drop me because I may break. What am I ?,what am i
gum,"I go in hard, come out soft. Blow me hard and I'll make a pop. What am I?",what am i
barber,"I shave several times a day, yet I still have a beard. Who am I?",who am i
counterfeit money,"Whoever makes it, tells it not; whoever takes it, knows it not; and whoever knows it, wants it not. What is it?",what is it
rainbow,"I am not a living thing, yet I could not exist without the sun and the rain.  What am I?",what am i
tissue,"Sad, sick, or sloppy I'll help you out,Use me right and I'll cover your snout.What am I?",what am i
corn,I'm yellow but I'm not the sun. I grow in a field but I'm not a sunflower. I'm found on an ear but I'm not a piece of jewelry. I go well with butter but I'm not a slice of toast. I'm associated with cob but I'm not a web. What am I?,what am i
dozens,I am six letters. When you take one away I am twelve. What am I?,what am i
bread,"I rise like the sun on a hot summer day. I come in many different kinds, For I am yours to devour. I'm to most people's likes, To others I'm not. What am I?",what am i
rain,A life sustainer.But match restrainer. The farmer's top aid.I quell a parade. What am I?,what am i
plate,Items taken during a periodic pause.Travel from me up to your jaws. I sit on the back of your ride.Ensuring you can be identified. Touching me when I'm home might be fun.Doing so may constitute a run. What am I?,what am i
volcano,These are objects which can erupt. Like Vesuvius that destroyed Pompeii. They pump out lava and magma. And spray ash and rock which land miles away. What is it?,what is it
Snow White,Seven tiny people found me Lying in their bed Jealousy wants to have me killed For my beauty she so dreads The bite of an apple sent me to slumber An evil trick gone amiss. Awaken from an endless sleep By a charming Prince and a simple kiss Who am I?,who am i
lie,It gets passed among men and builds without growing. It serves to injure from a source unknowing. What is it?,what is it
lawsuit,"You don't want this, but if you have it, you don't want to lose it. What is it?",what is it
box turtle,I am a slow mover. I have a life span of over 100 years. I enjoy the water. I go in my house whenever I am scared. What am I?,what am i
frame,I share people who you love. My fifth letter is in letter but not in mutt. if you cut off two heads I become what you do to hit some one with a weapon. I can have designes but I might be blank. My second letter is in racing but not in lace. If your you cut my first head and last head I become something you do to break a lock door. My third letter is in blanket but not in brother my fourth letter is in information but not in rational. My first letter is not in same but is in fame Sometime I can show your hard work. I can mean something boring or something that is really important not to do. I rhyme with two words in this riddle. What am I?,what am i
sugar,A box of Diamonds that Most love to eat. What Am I ?,what am i
mouse,"With a twitch of your finger, I can take you many places. I must avoid many traps to stay alive. What am I?",what am i
mousetrap,"What in your wandering eyes .Should come clean, But a miniature slay .And one tiny cheese. If you push on the lever, You will get hurt. Just as true as if you're dirty, You're covered in dirt. What is it?",what is it
eraser,My neighbor makes mistakes. I get rid of them. Who am I?,who am i
magnet,"I come in many shapes, sizes, and colors. I stick to many surfaces but I am, in fact, not sticky at all. What am I?",what am i
tow truck,I cause involuntary movements in your vehicle. What am I?,what am i
cardinal,"I can be counted to, My name is mentioned at a professional sports game, I used to have a lot of power, And I can fly. What am I?",what am i
virus,"I am as small as a micron, stealthy like a spy, and I have always been caught. What Am I?",what am i
bikini,I increase head turning rate tremendously for girls at beaches. What am I?,what am i
snow,Travelling far before reaching my rest.Received by some as an unwelcome guest. Before proceeding with your morning ride.Unceremoniously cast aside. Others wish for me to adorn their slopes.Fulfilling their recreational hopes. What am I?,what am i
lie detector,"My first, a distorted picture it does portray.My second notices when trouble comes its way.My whole may shed some light when suspecting foul play. What am I?",what am i
